Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
30	28	2	1	20	16	0	11	13	5	1
40	31	1	1	14	12	1	11	12	12	-1
55	53	1	1	16	17	1	17	13	2	1
51	58	1	5	20	17	1	6	2	2	1
44	53	1	2	20	17	1	19	2	2	1
34	34	2	1	16	16	1	14	12	12	1
27	33	1	1	20	12	0	11	-1	13	-1
52	50	1	4	12	16	0	1	13	12	-1
45	38	1	1	16	12	1	17	3	3	1
47	48	2	1	13	13	1	16	8	12	-1
22	22	1	1	16	16	1	13	3	3	1
33	37	1	1	16	13	1	15	3	3	-1
48	41	2	4	12	17	0	8	2	5	-1
37	36	2	1	14	12	1	12	1	1	-1
57	53	2	1	16	17	1	13	12	13	1
34	29	2	1	16	17	1	11	2	2	1
28	28	2	1	13	13	1	10	13	11	-1
42	33	1	1	12	10	1	12	3	3	1
41	44	2	2	13	16	0	11	13	11	-1
48	54	2	1	17	16	0	16	2	3	1
31	31	1	1	14	12	0	13	3	3	1
51	51	1	7	14	13	1	8	3	11	-1
60	60	1	1	12	17	1	7	2	1	-1
45	35	1	4	13	16	1	14	3	13	1
29	28	1	1	16	16	1	13	2	1	1
44	43	2	1	16	20	1	13	2	2	1
56	43	1	1	17	14	1	14	11	5	1
19	19	1	2	13	13	1	13	2	2	-1
33	33	1	2	17	16	1	14	3	2	1
99	29	2	1	16	13	0	10	2	2	-1
26	31	1	1	20	17	0	13	3	2	1
26	23	2	1	16	16	1	16	11	2	1
29	27	2	1	16	17	1	13	2	3	1
30	27	1	1	13	12	1	12	11	11	1
27	37	2	6	12	12	1	5	12	13	1
58	45	2	1	12	17	1	17	13	12	1
53	51	2	1	16	20	0	12	5	2	-1
34	34	1	1	16	12	0	9	13	13	-1
34	23	2	1	14	16	1	19	3	3	1
45	44	1	1	12	16	1	18	9	11	1
32	26	1	1	16	16	1	18	3	3	1
54	52	2	5	16	12	1	13	3	3	1
24	27	2	6	13	13	1	12	13	10	1
50	46	1	1	14	14	1	14	3	11	1
51	51	2	2	12	13	1	15	1	1	1
33	54	1	1	14	20	1	11	13	13	-1
26	24	1	1	13	13	0	15	2	3	-1
44	41	1	1	17	16	1	19	13	3	1
61	56	2	7	13	16	1	7	11	2	1
52	42	1	6	13	14	1	13	3	3	1
29	26	2	7	14	16	1	16	13	11	1
20	19	1	1	13	13	1	7	3	3	1
31	38	1	1	16	16	1	16	13	3	1
59	24	2	1	14	16	1	2	2	5	-1
36	39	1	1	13	16	1	12	5	5	1
29	29	2	2	16	14	1	16	2	3	1
41	38	1	1	16	12	1	17	2	2	-1
44	46	1	1	12	13	1	17	2	13	1
51	41	1	1	16	17	1	8	6	1	-1
25	40	1	2	17	17	0	5	3	11	1
49	51	1	1	14	16	1	18	2	2	1
40	41	1	1	16	17	1	15	3	3	1
20	21	2	1	13	13	1	12	2	11	-1
33	34	1	1	12	12	1	10	1	13	1
47	48	2	1	13	17	0	15	3	3	1
27	26	2	1	17	17	1	6	2	2	1
54	56	1	5	14	16	0	11	13	2	-1
58	56	2	2	12	13	1	14	3	3	1
37	42	1	1	12	12	1	13	1	11	1
54	54	2	1	12	14	1	13	3	3	1
29	34	1	1	12	12	0	16	13	13	-1
62	57	2	1	9	20	1	16	1	1	1
31	36	2	6	13	12	0	5	13	9	-1
43	42	2	1	17	16	0	15	13	13	-1
36	41	1	1	16	16	1	12	13	13	1
20	22	1	2	13	13	0	11	3	13	-1
28	28	1	1	16	17	1	14	1	1	1
39	42	1	7	12	12	1	7	2	2	1
42	38	2	1	20	17	1	19	2	2	1
28	27	2	7	16	16	0	12	3	3	1
50	44	1	6	12	12	1	16	1	1	1
18	19	1	4	11	11	0	5	3	3	-1
38	45	2	1	12	13	1	18	13	13	1
56	56	1	1	17	13	1	15	3	12	1
40	43	1	2	12	13	1	12	1	2	1
42	44	1	1	17	16	1	18	2	2	1
57	48	2	1	17	17	1	15	1	13	-1
23	23	2	1	13	13	1	15	11	11	-1
50	46	1	1	17	13	1	15	11	2	1
24	22	2	1	16	16	1	5	2	2	-1
43	43	2	2	17	16	1	12	5	13	1
60	65	1	5	12	12	1	8	3	3	1
53	53	1	2	17	17	1	17	2	13	1
35	39	1	7	12	12	1	8	3	3	1
