PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_3	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED	SUCCESS
2	52	7	7	1	3	1	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	28	11	8	1	1	1	13	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	31	11	8	1	1	2	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	53	17	12	1	1	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	58	6	30	0	3	2	13	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	53	19	15	1	2	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	34	14	14	0	1	1	12	nan	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	65	11	14	1	3	2	13	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
1	49	11	0	1	3	2	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
1	33	11	2	1	1	2	14	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
1	50	1	0	1	3	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	38	17	11	1	1	1	13	1	nan	nan	nan	nan	nan	nan	nan	0	0	0	0	1	0	0	0	0	0	1
2	48	16	4	1	3	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
1	74	14	43	1	1	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
