w234_combo_breakup	CASEID_NEW	PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_1	Q18A_2	PPINCIMP	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED
0	22526	2	52	7	7	1	3	1	12	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	23286	2	28	11	8	1	1	1	13	1	0	11	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
1	26315	1	31	11	8	1	1	2	11	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	28536	1	53	17	12	1	1	1	12	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	29584	1	58	6	30	0	3	2	13	 	 	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	32656	2	65	17	27	1	3	1	13	1	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	33536	1	53	19	15	1	2	1	14	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	34341	2	34	14	14	0	1	1	12	 	 	14	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
1	35653	1	65	11	14	1	3	2	13	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	36493	1	49	11	0	1	3	2	12	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	38895	1	89	5	19	1	3	2	10	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	40335	1	33	11	2	1	1	2	14	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	41505	1	50	1	0	1	3	2	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	43381	1	38	17	11	1	1	1	13	0	0	17	 	 	 	 	 	 	 	0	0	0	0	1	0	0	0	0	0
1	44486	2	48	16	4	1	3	1	10	1	1	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	46746	1	74	14	43	1	1	1	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	48225	1	22	13	0	0	1	2	10	0	0	13	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	49731	1	73	7	46	0	1	1	4	 	 	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	51376	1	37	15	2	1	1	1	12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	54415	2	41	8	0	0	3	2	8	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	55365	2	36	12	5	0	3	2	11	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
