AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
4	3	16	14	2	2	7	1
2	1	20	16	5	11	16	1
9	1	14	12	12	13	11	-1
2	1	16	17	2	1	16	1
7	3	20	17	2	3	6	1
9	2	20	17	2	2	19	1
0	1	16	16	13	2	15	1
15	3	17	13	3	3	11	-1
3	3	16	16	2	2	10	-1
6	1	20	12	2	-1	12	-1
2	3	12	16	1	11	1	-1
7	1	16	12	3	3	18	1
1	3	13	13	3	13	17	-1
13	1	20	14	11	3	14	1
0	1	16	16	3	3	15	1
7	1	9	13	9	2	7	1
4	1	16	13	3	3	14	-1
7	3	12	17	5	2	8	-1
1	3	14	12	1	1	10	-1
4	1	16	17	3	13	14	1
5	1	16	17	2	2	12	1
16	2	17	20	2	2	13	-1
0	3	13	13	11	13	11	-1
9	3	12	10	3	3	12	1
3	3	13	16	11	11	9	-1
10	3	13	13	3	13	3	-1
6	1	17	16	13	2	17	1
0	1	14	12	3	3	12	1
0	3	14	13	11	3	9	-1
0	3	12	17	1	2	6	-1
10	1	13	16	1	2	14	1
14	3	17	17	1	2	15	1
1	1	16	16	1	13	13	1
1	3	16	20	2	2	15	1
18	2	16	13	13	3	13	1
13	1	17	14	5	2	15	1
0	1	13	13	2	2	14	-1
2	3	16	20	2	2	15	1
0	1	17	16	2	3	14	1
2	1	16	13	3	2	18	1
6	3	16	16	2	2	6	-1
70	2	16	13	2	2	17	-1
5	1	20	17	2	3	14	1
0	3	13	16	13	11	16	1
3	3	16	16	2	11	16	1
2	3	16	17	3	2	13	1
9	1	13	13	12	1	15	-1
3	1	13	12	11	11	13	1
10	1	12	12	13	12	4	1
13	3	12	17	12	13	17	1
2	3	16	20	2	5	11	-1
0	2	16	12	2	3	11	-1
11	3	14	16	3	3	16	1
1	3	12	16	11	9	19	1
6	3	16	16	3	3	17	1
2	3	16	12	3	3	13	1
3	1	13	13	10	13	2	1
4	1	14	14	13	3	12	1
7	3	13	20	2	2	12	1
0	3	12	13	1	3	15	1
21	3	14	20	13	13	9	-1
3	1	13	13	1	2	8	1
2	1	13	13	3	2	15	-1
3	2	17	16	13	2	19	1
5	3	13	16	2	1	8	1
14	3	14	16	3	1	12	1
10	3	13	14	3	3	12	1
3	3	14	16	3	13	10	1
1	2	12	13	3	2	8	-1
1	2	13	13	3	3	11	1
7	1	16	16	3	2	16	1
35	3	14	16	5	2	15	-1
13	3	13	14	3	3	12	1
3	2	13	16	5	5	11	1
0	3	16	14	3	2	16	1
1	1	12	12	3	3	11	1
3	1	16	12	2	2	15	-1
2	1	12	13	13	2	17	1
10	3	16	17	1	6	6	-1
15	3	17	17	11	3	4	1
2	3	14	16	2	3	19	1
1	1	16	17	3	3	15	1
1	2	13	13	11	2	13	-1
0	3	12	12	3	1	8	-1
1	1	12	12	13	1	11	1
1	1	13	17	3	2	15	1
1	3	17	17	2	2	8	1
12	2	17	17	1	1	15	1
2	1	14	16	1	13	12	-1
2	3	12	13	1	3	14	1
5	1	12	12	11	3	13	1
0	3	12	14	3	3	13	1
5	2	12	12	13	13	16	-1
5	3	9	20	3	1	18	1
3	3	12	14	11	13	5	-1
5	3	13	16	11	2	12	1
5	3	13	12	11	11	6	-1
1	1	17	16	13	13	16	-1
5	1	16	16	3	13	13	1
2	1	13	13	13	3	12	-1
0	1	16	17	1	1	14	1
3	1	12	12	2	2	7	1
23	2	13	17	4	2	13	1
4	1	20	17	2	2	19	1
1	1	12	13	2	2	13	1
1	3	16	16	2	3	13	1
6	3	12	12	1	1	12	1
1	3	11	11	3	3	6	-1
7	1	12	13	3	3	17	1
0	1	17	13	2	3	15	1
3	1	12	13	2	1	11	1
4	1	17	16	3	3	14	-1
2	1	17	16	2	2	19	1
7	2	16	17	2	2	16	1
9	3	17	17	3	1	17	-1
0	3	13	13	11	11	13	-1
8	2	17	17	4	2	17	1
4	1	17	13	13	13	16	1
13	3	7.5	2.5	9	9	8	1
3	3	13	13	5	3	15	1
1	1	16	12	2	2	8	1
2	3	16	16	2	2	19	-1
10	1	17	17	2	11	16	1
6	3	16	20	13	13	17	1
0	2	17	16	3	5	11	1
5	2	12	12	3	3	8	1
0	1	17	17	3	2	17	1
4	2	12	12	3	3	8	1
1	3	16	17	13	2	12	-1
2	1	12	12	1	1	7	1
11	1	12	13	2	1	10	-1
6	3	17	16	3	5	14	1
